name, rmse, si_rmse, angular_error, norm_rmse
abandoned_bakery_4k.exr, 0.1967607917919199, 0.18870262134561389, 1.4645939969790338, 0.2638350610629462
abandoned_church_4k.exr, 0.2318077230951945, 0.08478724940927691, 0.4833676562903241, 0.11150806057134928
abandoned_factory_canteen_02_4k.exr, 0.09210967371686017, 0.09171708282846291, 1.0099626064039218, 0.21726050488315884
abandoned_games_room_01_4k.exr, 0.28119183964641253, 0.09851771390564314, 0.5799684512656498, 0.29022082007745714
abandoned_games_room_02_4k.exr, 0.09635001685327528, 0.09623330492914528, 0.8953017915816273, 0.15711569378420023
abandoned_greenhouse_4k.exr, 0.11260554960013398, 0.056994769003084984, 0.5050512541300913, 0.08645018720533469
abandoned_hall_01_4k.exr, 0.1353930991909101, 0.11873727123724391, 0.7427342975076109, 0.20528798881290855
abandoned_hopper_terminal_01_4k.exr, 0.2697155977287788, 0.10240726723420374, 0.9282748755885194, 0.18011040186658434
abandoned_hopper_terminal_02_4k.exr, 0.530661688950899, 0.12323107858277416, 0.7315715043323664, 0.18236562587026237
abandoned_hopper_terminal_04_4k.exr, 0.17036503162841557, 0.09133540969746046, 1.219586016465182, 0.2081249709985535
abandoned_parking_4k.exr, 0.08155246886298397, 0.05334080336840735, 0.30038588194218624, 0.0857986169935939
abandoned_pathway_4k.exr, 0.6330789462451537, 0.146735840024974, 3.595872615819391, 0.18622275392021015
abandoned_slipway_4k.exr, 0.16597949033932266, 0.12392238674414133, 0.25844631033689036, 0.1655620796555517
abandoned_tank_farm_01_4k.exr, 0.25034333139691756, 0.10389808215877176, 1.2850102345801646, 0.15625518323282864
abandoned_tank_farm_02_4k.exr, 0.2667370179204417, 0.10584033254185436, 1.4594184867475601, 0.20811165146169006
abandoned_tank_farm_03_4k.exr, 0.17109990420916957, 0.0739627934858541, 0.3710476583652163, 0.1305873180400885
abandoned_tank_farm_04_4k.exr, 0.380505685201424, 0.11786439507747391, 2.5598582669842247, 0.20510090416071183
abandoned_tank_farm_05_4k.exr, 0.25221940546744887, 0.0921559121255367, 2.2284754938213527, 0.23136962545704315
abandoned_workshop_02_4k.exr, 0.8371037887917654, 0.12653099787040004, 2.1398445858069657, 0.1823081465096928
abandoned_workshop_4k.exr, 0.41766276507377836, 0.09103233639449523, 2.8328227645614374, 0.18015373421338152
adams_place_bridge_4k.exr, 0.2431935179235142, 0.11036988682941719, 1.779954383279927, 0.19928064289577185
aft_lounge_4k.exr, 0.27484328474797226, 0.1812488480359066, 2.1714963923830517, 0.22158948317895744
ahornsteig_4k.exr, 0.14898353595438302, 0.13362008754843913, 0.8307414271751821, 0.19524708156909812
air_museum_playground_4k.exr, 0.523021619680988, 0.13445474471251143, 1.9111638966755125, 0.16822811942911145
aircraft_workshop_01_4k.exr, 0.20684815526708827, 0.0849503909527744, 1.0905014937224256, 0.14496638339905205
amphitheatre_zanzibar_fort_4k.exr, 0.3365471627446212, 0.0883780961846621, 1.4083421553959987, 0.1387794936298594
anniversary_lounge_4k.exr, 0.4182749998078877, 0.19191668033355197, 4.817199767925033, 0.35115461204083426
