name, rmse, si_rmse, angular_error, norm_rmse
abandoned_bakery_4k.exr, 0.4221478107619106, 0.3955236798243705, 3.132841310153257, 0.5154937654319456
abandoned_church_4k.exr, 0.2982650507556084, 0.23655489573515612, 1.274323144403808, 0.2103028282600517
abandoned_factory_canteen_02_4k.exr, 0.2838019283328348, 0.28377731335327333, 2.2504238230513884, 0.21780490698335014
abandoned_games_room_01_4k.exr, 0.34142889041790003, 0.2703073257657013, 1.7824047338652647, 0.3091856839137903
abandoned_games_room_02_4k.exr, 0.20237561545031127, 0.1986836903502527, 2.0584480618587744, 0.3591437774244507
abandoned_greenhouse_4k.exr, 0.18475381932622084, 0.16802720924979367, 0.738843943122647, 0.30803470115265097
abandoned_hall_01_4k.exr, 0.2981785445791668, 0.27270378488932173, 1.760536243312804, 0.3412782065578981
abandoned_hopper_terminal_01_4k.exr, 0.3376454786077117, 0.28079785120592876, 1.2092098168096486, 0.23224965494767
abandoned_hopper_terminal_02_4k.exr, 0.5312325974593884, 0.291290570437125, 1.372900442366137, 0.28692597044216334
abandoned_hopper_terminal_04_4k.exr, 0.2404425698700138, 0.23002886435429332, 2.223122864161886, 0.3440278741356025
abandoned_parking_4k.exr, 0.16922582796616045, 0.1570971612251843, 1.3354119436054803, 0.2159953675662911
abandoned_pathway_4k.exr, 0.6909376862719998, 0.3891690171378454, 2.7031970751477608, 0.392930781232933
abandoned_slipway_4k.exr, 0.3944634348975217, 0.3845914320429409, 0.8641880111532431, 0.3775829156995823
abandoned_tank_farm_01_4k.exr, 0.2959078440563212, 0.23796932800096118, 1.5369021793741098, 0.23014955360424544
abandoned_tank_farm_02_4k.exr, 0.3247762304804011, 0.26813744589879246, 2.092363789428367, 0.2528710695726696
abandoned_tank_farm_03_4k.exr, 0.2208593346240969, 0.18986868350373529, 1.1421899141027094, 0.205888159917609
abandoned_tank_farm_04_4k.exr, 0.4110032409830464, 0.29353956206883336, 2.3365960998292548, 0.31875358288203515
abandoned_tank_farm_05_4k.exr, 0.28821360968518955, 0.23490144480957598, 2.1165600869008463, 0.3115587646883937
abandoned_workshop_02_4k.exr, 0.851339884895948, 0.4012528258899742, 2.8284984111348965, 0.23654168870648248
abandoned_workshop_4k.exr, 0.44923040123917074, 0.2998864510065636, 2.831727514962088, 0.3018243815694713
adams_place_bridge_4k.exr, 0.4216815240456711, 0.3388578118305389, 3.7229843659165502, 0.3567276449466692
aft_lounge_4k.exr, 0.543289257160636, 0.5268562396679218, 4.196468964357622, 0.20522287060315805
ahornsteig_4k.exr, 0.48049035478283453, 0.46106859143402507, 2.355964103758386, 0.3895145198559541
air_museum_playground_4k.exr, 0.5628586692687773, 0.3518712103428351, 2.529650001023275, 0.24248600058400788
aircraft_workshop_01_4k.exr, 0.34488888269415496, 0.310168146971085, 3.7590626444317303, 0.2678160321120379
amphitheatre_zanzibar_fort_4k.exr, 0.40859382546359163, 0.28061348287085486, 1.4239435030028371, 0.38982377754582637
anniversary_lounge_4k.exr, 0.5111987884891652, 0.42560178039151114, 3.94003807261881, 0.3123754980722193
approaching_storm_4k.exr, 0.6522057369977383, 0.30411167668243844, 3.0278223984216885, 0.24314395549794088
arboretum_4k.exr, 0.5751980749768201, 0.35060273830885447, 2.372075338581367, 0.2702888539655412
aristea_wreck_4k.exr, 0.24134026548086396, 0.22688391210135883, 1.4478991591298507, 0.2225256192505439
aristea_wreck_puresky_4k.exr, 0.23145256480533768, 0.2128305198234697, 2.957526120361047, 0.26182686891087364
art_studio_4k.exr, 0.6034620955313714, 0.3753459431808825, 2.1153725832690227, 0.44531849746525065
artist_workshop_4k.exr, 0.28493245343123025, 0.2805256678893603, 2.4307370400823904, 0.24580567722042976
autoshop_01_4k.exr, 0.20257205249548593, 0.19155665026090596, 0.5811505280108253, 0.28097865814047823
