name, rmse, si_rmse, angular_error, norm_rmse
abandoned_bakery_4k.exr, 0.9294583762130564, 0.905554025510899, 4.203663067437627, 0.7296490427574861
abandoned_church_4k.exr, 0.4451928201862419, 0.3692171052420154, 2.189746934928225, 0.27245618663489474
abandoned_factory_canteen_02_4k.exr, 0.6598029926527985, 0.6353846796037748, 3.6091044724207992, 0.27459047196840025
abandoned_games_room_01_4k.exr, 0.6691687629951762, 0.5182311329441996, 3.243364028868902, 0.358477807371654
abandoned_games_room_02_4k.exr, 0.4179458162866305, 0.3883875082349933, 3.0206573106454284, 0.4444706709074502
abandoned_greenhouse_4k.exr, 0.377846279054578, 0.3776966790153669, 1.4412407167288368, 0.3673112728398063
abandoned_hall_01_4k.exr, 0.5048765600260844, 0.44438609218829106, 3.3322293631051805, 0.366943960393887
abandoned_hopper_terminal_01_4k.exr, 0.5457654622015303, 0.46781703428599236, 1.7797558912740545, 0.33731073068186906
abandoned_hopper_terminal_02_4k.exr, 0.7009669100827962, 0.4652530593369498, 1.9666556239663644, 0.3874264067645583
abandoned_hopper_terminal_04_4k.exr, 0.40041271216775265, 0.3854620956958677, 3.5658675975364384, 0.48947212586629074
abandoned_parking_4k.exr, 0.3138895355202453, 0.2939342209508459, 2.948283570704528, 0.3742566803402797
abandoned_pathway_4k.exr, 1.0310741216281814, 0.6532935818214531, 3.5046861213332914, 0.539876081420242
abandoned_slipway_4k.exr, 0.5514222810450208, 0.5508807593967743, 1.4392388014705062, 0.41024134635578197
abandoned_tank_farm_01_4k.exr, 0.48141473011428, 0.42353267607101747, 2.042557694797458, 0.3638049499086911
abandoned_tank_farm_02_4k.exr, 0.4862121753662556, 0.4069954452410192, 2.667978245637155, 0.36121571123502694
abandoned_tank_farm_03_4k.exr, 0.45954499720200687, 0.41368832754389534, 2.500909955930122, 0.4008508201457664
abandoned_tank_farm_04_4k.exr, 0.6861068579378976, 0.5444344261447208, 2.837846324929126, 0.47211403871236507
abandoned_tank_farm_05_4k.exr, 0.44971567395206213, 0.3628540984965154, 2.6646963436316238, 0.4138658638116048
abandoned_workshop_02_4k.exr, 1.6182450684624408, 0.9129280812460506, 3.9706289292749455, 0.2695095984483817
abandoned_workshop_4k.exr, 0.9641910295249125, 0.6778543067717477, 3.6851002320054023, 0.2998411086577049
adams_place_bridge_4k.exr, 0.8829424268544807, 0.7035279791517254, 5.159561616503939, 0.38333062730245615
aft_lounge_4k.exr, 1.2633034138643642, 1.1732659659691547, 5.733397505844052, 0.27125880224851273
ahornsteig_4k.exr, 0.7925064248682014, 0.7246593227704105, 4.020465784283121, 0.3666230474254476
air_museum_playground_4k.exr, 0.8479069451213246, 0.5727916166537997, 3.809016143455571, 0.3764611016852201
aircraft_workshop_01_4k.exr, 0.8927522963801923, 0.773650987845233, 5.401946352163581, 0.32539784116385206
amphitheatre_zanzibar_fort_4k.exr, 0.6184509877805782, 0.4572452212905477, 2.2425440430282677, 0.3619929744355956
anniversary_lounge_4k.exr, 0.8836332558897875, 0.767922970554033, 5.878142738645157, 0.35090909572959006
approaching_storm_4k.exr, 0.7996525670679945, 0.43308090140376476, 3.7904793440106457, 0.28455742081456
arboretum_4k.exr, 0.7702005725689204, 0.5436297155597373, 3.5246083071023913, 0.34760120506267517
aristea_wreck_4k.exr, 0.3820561954494005, 0.35200044030631816, 2.6634418152139325, 0.29753969498463334
aristea_wreck_puresky_4k.exr, 0.31396914649315977, 0.31169011769550564, 4.428914516794753, 0.3455357002293704
art_studio_4k.exr, 1.0643345747889996, 0.6343403992698877, 3.7352701199666862, 0.36369335922764284
artist_workshop_4k.exr, 0.6336119220528023, 0.6289777517906336, 3.45497950000135, 0.300831097070239
autoshop_01_4k.exr, 0.4176493288398982, 0.4172396354040528, 1.35789728727384, 0.4311176640753027
autumn_crossing_4k.exr, 0.8001057010425343, 0.7513688208258663, 3.7600704281689525, 0.3623774724821593
autumn_forest_01_4k.exr, 0.9493087650082708, 0.657433700611264, 5.872272435440117, 0.41696752300503526
autumn_forest_02_4k.exr, 1.03344006822399, 0.8704291759077929, 5.164069148841605, 0.45941251406626427
autumn_forest_03_4k.exr, 0.869239172374886, 0.8324403787883483, 2.2639798121739436, 0.4228850845754337
autumn_forest_04_4k.exr, 1.0824687092715182, 0.6592863767035545, 4.5776348807414005, 0.4508343938536096
autumn_ground_4k.exr, 1.2963977377390403, 1.0109743464939505, 6.276949824658556, 0.35475869867637067
