filename,score
derelict_highway_noon_4k.exr,1.5519393893469804
derelict_underpass_4k.exr,-1
dikhololo_night_4k.exr,1.289663355369826
dikhololo_sunset_4k.exr,1.1910537785009379
dirt_bike_track_01_4k.exr,0.5784766800526334
drachenfels_cellar_4k.exr,0.4843430878033634
drackenstein_quarry_4k.exr,0.12230150921016748
drackenstein_quarry_puresky_4k.exr,0.9234781512648231
drakensberg_solitary_mountain_4k.exr,0.8589011130748101
drakensberg_solitary_mountain_puresky_4k.exr,0.9398898031384749
dreifaltigkeitsberg_4k.exr,1.3459538535551974
dresden_moat_4k.exr,-1
dresden_square_4k.exr,1.1318540984411094
dresden_station_night_4k.exr,0.7805480083714685
driving_school_4k.exr,0.7427154582045516
dry_cracked_lake_4k.exr,1.006815233854109
dry_field_4k.exr,1.058202499932563
dry_hay_field_4k.exr,0.1046869509948548
dusseldorf_bridge_4k.exr,0.6443618904547644
ehingen_hillside_02_4k.exr,0.4672056469668952
ehingen_hillside_4k.exr,0.7863612968601558
eilenriede_park_4k.exr,0.9103769612342119
emmarentia_4k.exr,1.2121864461134497
empty_warehouse_01_4k.exr,0.6770328806464144
en_suite_4k.exr,1.315946656119634
entrance_hall_4k.exr,1.613568507152788
epping_forest_01_4k.exr,1.037234512364674
epping_forest_02_4k.exr,0.8742073542631476
evening_road_01_4k.exr,1.032799869963723
factory_yard_4k.exr,0.831867372085429
farm_field_4k.exr,0.8646836781558812
felsenlabyrinth_4k.exr,0.7041782958022201
fireplace_4k.exr,0.6230806443707064
fish_eagle_hill_4k.exr,0.4184425795953256
fish_hoek_beach_4k.exr,-1
floral_tent_4k.exr,0.9121930530542195
flower_hillside_4k.exr,0.919571007175713
flower_road_4k.exr,1.186839265081283
forest_cave_4k.exr,0.6218271354659657
forest_slope_4k.exr,0.47712018478914403
forgotten_miniland_4k.exr,0.4915964904108977
fouriesburg_mountain_cloudy_4k.exr,-1
fouriesburg_mountain_lookout_4k.exr,1.234920109482101
fouriesburg_mountain_midday_4k.exr,0.6391507118033428
